Código,Cuenta,Nivel,Primer Nivel,COMPLETO
125049902,Bulevares para peatones,6,ACTIVO,TODO
125049903,Pistas de despegue  aterrizaje de aeronaves,6,ACTIVO,TODO
125049999,Otros bienes de infraestructura y de beneficio y uso público diversos,6,ACTIVO,TODO
12505,Bienes históricos  culturales,4,ACTIVO,TODO
1250501,Inmuebles históricos  culturales,5,ACTIVO,TODO
125050101,Edificios históricos,6,ACTIVO,TODO
125050102,Monumentos,6,ACTIVO,TODO
1250502,Piezas  obras históricas  de colección,5,ACTIVO,TODO
125050201,Obras de arte,6,ACTIVO,TODO
125050202,Esculturas,6,ACTIVO,TODO
125050295,Bienes históricos y culturales reclasificar,6,ACTIVO,TODO
125050299,Otras piezas  obras históricas  de colección,6,ACTIVO,TODO
1250599,Otros bienes históricos  culturales,5,ACTIVO,TODO
125059999,Otros bienes históricos  culturales diversos,6,ACTIVO,TODO
12506,Recursos naturales en explotación,4,ACTIVO,TODO
1250601,Recursos naturales no renovables,5,ACTIVO,TODO
125060101,Minas  canteras,6,ACTIVO,TODO
125060102,Yacimientos,6,ACTIVO,TODO
125060199,Otros recursos naturales no renovables,6,ACTIVO,TODO
1250602,Recursos naturales renovables,5,ACTIVO,TODO
125060201,Bosques,6,ACTIVO,TODO
125060202,Parques nacionales  otras áreas de conservación,6,ACTIVO,TODO
125060299,Otros recursos naturales renovables,6,ACTIVO,TODO
12507,Recursos naturales en conservación,4,ACTIVO,TODO
1250701,Recursos naturales no renovables,5,ACTIVO,TODO
125070101,Minas  canteras,6,ACTIVO,TODO
125070102,Yacimientos,6,ACTIVO,TODO
125070199,Otros recursos naturales no renovables,6,ACTIVO,TODO
1250702,Recursos naturales renovables,5,ACTIVO,TODO
125070201,Bosques,6,ACTIVO,TODO
125070202,Parques nacionales  otras áreas de conservación,6,ACTIVO,TODO
125070299,Otros recursos naturales renovables,6,ACTIVO,TODO
12508,Bienes intangibles no concesionados,4,ACTIVO,TODO
1250801,Patentes  marcas registradas,5,ACTIVO,TODO
125080101,Patentes y marcas registradas Valores de origen,6,ACTIVO,TODO
125080102,Patentes y marcas registradas Revaluaciones,6,ACTIVO,TODO
125080103,Patente y marca registrada Amortizacion acumulada,6,ACTIVO,TODO
125080104,Patentes y marcas registradas Pérdidas x deterioro,6,ACTIVO,TODO
1250802,Derechos de autor,5,ACTIVO,TODO
125080201,Derechos de autor Valores de origen,6,ACTIVO,TODO
125080202,Derechos de autor Revaluaciones,6,ACTIVO,TODO
125080203,Derechos de autor Amortizaciones acumuladas *,6,ACTIVO,TODO
125080204,Derechos de autor Pérdidas por deterioro *,6,ACTIVO,TODO
1250803,Software  programas,5,ACTIVO,TODO
125080301,Software y programas Valores de origen,6,ACTIVO,TODO
125080302,Software y programas Revaluaciones,6,ACTIVO,TODO
125080303,Software y programas Amortizaciones acumuladas *,6,ACTIVO,TODO
125080304,Software y programas Pérdidas por deterioro *,6,ACTIVO,TODO
1250804,Espectro electromagnético,5,ACTIVO,TODO
125080401,Espectro electromagnético Valores de origen,6,ACTIVO,TODO
125080402,Espectro electromagnético Revaluaciones,6,ACTIVO,TODO
125080404,Espectro electromagnético Pérdidas por deterioro *,6,ACTIVO,TODO
125089500,Bienes intangibles no concesionados x reclasificar,6,ACTIVO,TODO
1250896,Software y programas por reclasificar,5,ACTIVO,TODO
125089601,Software y programas x Reclas Valores de origen,6,ACTIVO,TODO
125089602,Software y programas x reclasificar Revaluaciones,6,ACTIVO,TODO
125089603,Software programa x Reclas Amortizacione acumulada,6,ACTIVO,TODO
125089604,Software y programas x Reclas Pérdidas x deterioro,6,ACTIVO,TODO
1250899,Otros bienes intangibles,5,ACTIVO,TODO
125089901,Otros bienes intangibles Valores de origen,6,ACTIVO,TODO
125089902,Otros bienes intangibles Revaluaciones,6,ACTIVO,TODO
125089903,Otros bienes intangibles Amortizaciones acumuladas *,6,ACTIVO,TODO
125089904,Otros bienes intangibles Pérdidas por deterioro *,6,ACTIVO,TODO
12599,Bienes no concesionados en proceso de producción,4,ACTIVO,TODO
1259901,"Propiedades, planta y equipo en proceso de producción",5,ACTIVO,TODO
125990102,Construcciones en proceso de edificios,6,ACTIVO,TODO
125990103,Construcciones en proceso de maquinaria y equipos para la producción,6,ACTIVO,TODO
125990104,"Construcciones en proceso de equipos de transporte, tracción y elevación",6,ACTIVO,TODO
125990105,Construcciones en proceso de equipos de comunicación,6,ACTIVO,TODO
125990106,Construcciones en proceso de equipos y mobiliario de oficina,6,ACTIVO,TODO
125990107,Construcciones en proceso de equipos para computación,6,ACTIVO,TODO
125990108,"Construcciones en proceso de equipos sanitarios, de laboratorio e investigación",6,ACTIVO,TODO
125990109,"Construcciones en proceso de equipos y mobiliario educacional, deportivo y recreativo",6,ACTIVO,TODO
125990110,"Construcciones en proceso de equipos de seguridad, orden, vigilancia y control público",6,ACTIVO,TODO
125990111,Producción y preparación de semovientes,6,ACTIVO,TODO
125990195,Construcciones en Proceso por Reclasificar,6,ACTIVO,TODO
125990196,Otra Construccion adicion y Mejora x Reclasificar,6,ACTIVO,TODO
125990199,"Construcciones en proceso de maquinarias, equipos y mobiliarios diversos",6,ACTIVO,TODO
1259904,Bienes de infraestructura y de beneficio y uso público en proceso de producción,5,ACTIVO,TODO
125990401,Construcciones en proceso de vías de comunicación terrestre,6,ACTIVO,TODO
125990402,Construcciones en proceso de obras marítimas y fluviales,6,ACTIVO,TODO
125990403,Construcciones en proceso de centrales y redes de comunicación y energía,6,ACTIVO,TODO
125990495,Bien infraest benef uso públic proc prod Reclasif,6,ACTIVO,TODO
125990499,Construcciones en proceso de otros bienes de infraestructura y de beneficio y uso público,6,ACTIVO,TODO
1259905,Bienes culturales en proceso de producción,5,ACTIVO,TODO
125990501,Construcciones en proceso de monumentos,6,ACTIVO,TODO
125990599,Construcciones en proceso de otros bienes culturales,6,ACTIVO,TODO
1259908,Bienes intangibles en proceso de producción,5,ACTIVO,TODO
125990803,Producción en proceso de software y programas,6,ACTIVO,TODO
125990899,Producción en proceso de otros bienes intangibles,6,ACTIVO,TODO
126,Bienes concesionados,3,ACTIVO,TODO
12601,"Propiedades, planta  equipos concesionados",4,ACTIVO,TODO
1260101,Tierras  terrenos,5,ACTIVO,TODO
126010101,Terrenos para construcción de edificios,6,ACTIVO,TODO
126010102,Terrenos para basureros,6,ACTIVO,TODO
126010103,Terrenos para cementerios,6,ACTIVO,TODO
126010104,Terrenos para vías de comunicación,6,ACTIVO,TODO
126010105,Tierras  terrenos para cultivo,6,ACTIVO,TODO
126010199,Otras tierras y  terrenos,6,ACTIVO,TODO
1260102,Edificios,5,ACTIVO,TODO
126010201,Edificios de oficinas  atención al público,6,ACTIVO,TODO
126010202,Hospitales,6,ACTIVO,TODO
126010203,Viviendas,6,ACTIVO,TODO
126010204,Bodegas,6,ACTIVO,TODO
126010205,Locales,6,ACTIVO,TODO
126010206,Aeropuertos,6,ACTIVO,TODO
126010207,Bibliotecas  centros de información,6,ACTIVO,TODO
126010208,"Centros de enseñanza, formación y educación",6,ACTIVO,TODO
126010209,Granjas  establecimientos agropecuarios,6,ACTIVO,TODO
126010299,Otros edificios,6,ACTIVO,TODO
1260103,Maquinaria  equipos para la producción,5,ACTIVO,TODO
126010301,Maquinaria para la construcción,6,ACTIVO,TODO
126010302,Generadores,6,ACTIVO,TODO
126010303,Planta eléctrica,6,ACTIVO,TODO
126010304,Hornos,6,ACTIVO,TODO
126010305,Equipos para proceso de alimentos,6,ACTIVO,TODO
126010306,Equipos hidráulicos,6,ACTIVO,TODO
126010307,Cisternas,6,ACTIVO,TODO
126010308,Equipos de medición,6,ACTIVO,TODO
126010309,Bombas,6,ACTIVO,TODO
126010310,Motores,6,ACTIVO,TODO
126010399,Otras maquinarias  equipos para la producción,6,ACTIVO,TODO
1260104,"Equipos de transpote, tracción y  elevación",5,ACTIVO,TODO
126010401,Motocicletas,6,ACTIVO,TODO
126010402,Vehículos,6,ACTIVO,TODO
126010403,Equipos de transporte y tracción marítima y fluvial,6,ACTIVO,TODO
126010404,Transporte ferroviario,6,ACTIVO,TODO
126010405,Aeronaves,6,ACTIVO,TODO
126010499,Otros equipos de transporte,6,ACTIVO,TODO
1260105,Equipos de comunicación,5,ACTIVO,TODO
126010501,Antenas  radares,6,ACTIVO,TODO
126010502,Equipos de telefonía,6,ACTIVO,TODO
126010503,Equipos de radiocomunicación,6,ACTIVO,TODO
126010504,Equipos de audio  video,6,ACTIVO,TODO
126010599,Otros equipos de comunicación,6,ACTIVO,TODO
1260106,Equipos  mobiliario de oficina,5,ACTIVO,TODO
126010601,"Archivadores, bibliotecas  armarios",6,ACTIVO,TODO
126010602,Mesas  escritorios,6,ACTIVO,TODO
126010603,Sillas  bancos,6,ACTIVO,TODO
126010604,Fotocopiadoras,6,ACTIVO,TODO
126010605,Equipos de ventilación,6,ACTIVO,TODO
126010699,Otros equipos  mobiliario,6,ACTIVO,TODO
1260107,Equipos para computación,5,ACTIVO,TODO
126010701,Computadoras,6,ACTIVO,TODO
126010702,Impresoras,6,ACTIVO,TODO
126010703,Modem,6,ACTIVO,TODO
126010704,Monitores,6,ACTIVO,TODO
126010705,UPS,6,ACTIVO,TODO
126010799,Otros equipos de cómputo,6,ACTIVO,TODO
1260108,"Equipos sanitarios, de laboratorio e investigación",5,ACTIVO,TODO
126010801,Equipos e instrumental médico,6,ACTIVO,TODO
126010802,Equipos de laboratorio,6,ACTIVO,TODO
126010803,Equipos de medición,6,ACTIVO,TODO
126010899,Otros equipos sanitarios  de laboratorio,6,ACTIVO,TODO
1260109,"Equipos y mobiliario educacional, deportivo y recreativo",5,ACTIVO,TODO
126010901,Pizarras y  rotafolios,6,ACTIVO,TODO
126010902,Mobiliario para enseñanza,6,ACTIVO,TODO
126010903,Instrumentos musicales,6,ACTIVO,TODO
126010904,Enciclopedias,6,ACTIVO,TODO
126010905,Equipos de entretenimiento,6,ACTIVO,TODO
126010999,"Otros equipos educacionales, deportivos y recreativos",6,ACTIVO,TODO
1260110,"Equipos de seguridad, orden, vigilancia y control público",5,ACTIVO,TODO
126011001,Equipos de protección contra incendios,6,ACTIVO,TODO
126011002,Sistemas de alarmas  seguridad,6,ACTIVO,TODO
126011003,Armas,6,ACTIVO,TODO
126011099,"Otros equipos de seguridad, orden, vigilancia y control público",6,ACTIVO,TODO
1260111,Semovientes,5,ACTIVO,TODO
126011101,Vacunos,6,ACTIVO,TODO
126011102,Equinos,6,ACTIVO,TODO
126011103,Caninos,6,ACTIVO,TODO
126011199,Otros semovientes,6,ACTIVO,TODO
1260199,"Maquinarias, equipos  mobiliarios diversos",5,ACTIVO,TODO
126019901,Equipos de señalamiento,6,ACTIVO,TODO
126019902,Equipos  mobiliario doméstico,6,ACTIVO,TODO
126019903,Equipos fotográficos  de revelado,6,ACTIVO,TODO
126019904,Equipos  mobiliario de ingeniería  dibujo,6,ACTIVO,TODO
126019999,"Otras maquinarias, equipos  mobiliarios diversos",6,ACTIVO,TODO
12603,Activos biológicos concesionados,4,ACTIVO,TODO
1260301,Plantas  árboles,5,ACTIVO,TODO
126030101,Plantas,6,ACTIVO,TODO
126030102,Árboles,6,ACTIVO,TODO
1260302,Semovientes,5,ACTIVO,TODO
126030201,Vacunos,6,ACTIVO,TODO
126030202,Equinos,6,ACTIVO,TODO
126030203,Caninos,6,ACTIVO,TODO
126030299,Otros semovientes,6,ACTIVO,TODO
12604,Bienes de infraestructura y de beneficio y uso público concesionados,4,ACTIVO,TODO
1260401,Vías de comunicación terrestre,5,ACTIVO,TODO
126040101,Carreteras  caminos,6,ACTIVO,TODO
126040102,Vías férreas,6,ACTIVO,TODO
126040103,Puentes,6,ACTIVO,TODO
126040104,Túneles,6,ACTIVO,TODO
126040199,Otras vías de comunicación terrestre,6,ACTIVO,TODO
1260402,Obras marítimas  fluviales,5,ACTIVO,TODO
126040201,Obras marítimas,6,ACTIVO,TODO
126040202,Obras fluviales,6,ACTIVO,TODO
1260403,Centrales  redes de comunicación  energía,5,ACTIVO,TODO
126040301,"Centrales  redes acuíferas, cloacales  pluviales",6,ACTIVO,TODO
126040302,Centrales  redes de electricidad,6,ACTIVO,TODO
126040303,Oleoductos,6,ACTIVO,TODO
126040304,Centrales  redes de comunicación,6,ACTIVO,TODO
126040399,Otras centrales  redes de energía,6,ACTIVO,TODO
1260499,Otros bienes de infraestr de beneficio uso público,5,ACTIVO,TODO
126049901,Plazas  parques,6,ACTIVO,TODO
126049902,Bulevares para peatones,6,ACTIVO,TODO
126049903,Pistas de despegue  aterrizaje de aeronaves,6,ACTIVO,TODO
126049999,Otros bienes de infraestructura y de beneficio y uso público diversos,6,ACTIVO,TODO
12606,Recursos naturales concesionados,4,ACTIVO,TODO
1260601,Recursos naturales no renovables,5,ACTIVO,TODO
126060101,Minas  canteras,6,ACTIVO,TODO
126060102,Yacimientos,6,ACTIVO,TODO
126060199,Otros recursos naturales no renovables,6,ACTIVO,TODO
1260602,Recursos naturales renovables,5,ACTIVO,TODO
126060201,Bosques,6,ACTIVO,TODO
126060202,Parques nacionales y otras áreas de conservación,6,ACTIVO,TODO
126060299,Otros recursos naturales renovables,6,ACTIVO,TODO
12608,Bienes intangibles concesionados,4,ACTIVO,TODO
1260801,Patentes  marcas registradas,5,ACTIVO,TODO
126080101,Patentes y marcas registradas Valores de origen,6,ACTIVO,TODO
126080102,Patentes y marcas registradas Revaluaciones,6,ACTIVO,TODO
126080103,Patente y marca registrada Amortizacion acumulada,6,ACTIVO,TODO
126080104,Patentes y marcas registradas Pérdidas po deterioro,6,ACTIVO,TODO
1260802,Derechos de autor,5,ACTIVO,TODO
126080201,Derechos de autor Valores de origen,6,ACTIVO,TODO
126080202,Derechos de autor Revaluaciones,6,ACTIVO,TODO
126080203,Derechos de autor Amortizaciones acumuladas *,6,ACTIVO,TODO
126080204,Derechos de autor Pérdidas por deterioro *,6,ACTIVO,TODO
1260803,Software  programas,5,ACTIVO,TODO
126080301,Software y programas Valores de origen,6,ACTIVO,TODO
126080302,Software y programas Revaluaciones,6,ACTIVO,TODO
126080303,Software y programas Amortizaciones acumuladas *,6,ACTIVO,TODO
126080304,Software y programas Pérdidas por deterioro *,6,ACTIVO,TODO
1260804,Espectro electromagnético,5,ACTIVO,TODO
126080401,Espectro electromagnético Valores de origen,6,ACTIVO,TODO
126080402,Espectro electromagnético Revaluaciones,6,ACTIVO,TODO
126080404,Espectro electromagnético Pérdidas por deterioro *,6,ACTIVO,TODO
1260899,Otros bienes intangibles,5,ACTIVO,TODO
126089901,Otros bien intangibles Valores de origen,6,ACTIVO,TODO
126089902,Otros bienes intangibles Revaluaciones,6,ACTIVO,TODO
126089903,Otros bienes intangibles Amortizaciones acumuladas *,6,ACTIVO,TODO
126089904,Otros bienes intangibles Pérdidas por deterioro *,6,ACTIVO,TODO
12699,Bienes concesionados en proceso de producción,4,ACTIVO,TODO
1269901,"Propiedades, planta  equipo en proc  de producción",5,ACTIVO,TODO
126990102,Construcciones en proceso de edificios,6,ACTIVO,TODO
126990103,Construcciones en proceso de maquinaria y equipos para la producción,6,ACTIVO,TODO
126990104,"Construcciones en proceso de equipos de transporte, tracción y elevación",6,ACTIVO,TODO
126990105,Construcciones en proceso de equipos de comunicación,6,ACTIVO,TODO
126990106,Construcciones en proceso de equipos y mobiliario de oficina,6,ACTIVO,TODO
126990107,Construcciones en proceso de equipos para computación,6,ACTIVO,TODO
126990108,"Construcciones en proceso de equipos sanitarios, de laboratorio e investigación",6,ACTIVO,TODO
126990109,"Construcciones en proceso de equipos y mobiliario educacional, deportivo y recreativo",6,ACTIVO,TODO
126990110,"Construcciones en proceso de equipos de seguridad, orden, vigilancia y control público",6,ACTIVO,TODO
126990111,Producción  preparación de semovientes,6,ACTIVO,TODO
126990199,"Construcciones en proceso de maquinarias, equipos y mobiliarios diversos",6,ACTIVO,TODO
1269904,Bienes de infraestructura y de beneficio y uso público en proceso de producción,5,ACTIVO,TODO
126990401,Construcciones en proceso de vías de comunicación terrestre,6,ACTIVO,TODO
126990402,Construcciones en proceso de obras marítimas y fluviales,6,ACTIVO,TODO
126990403,Construcciones en proceso de centrales y redes de comunicación y energía,6,ACTIVO,TODO
126990499,Construcciones en proceso de otros bienes de infraestructura y de beneficio y uso público,6,ACTIVO,TODO
1269908,Bienes intangibles en proceso de producción,5,ACTIVO,TODO
126990803,Producción en proceso de software y programas,6,ACTIVO,TODO
126990899,Producción en proceso de otros bienes intangibles,6,ACTIVO,TODO
127,Inversiones patrimoniales - Método de participación,3,ACTIVO,TODO
12701,Inversiones patrimoniales en el sector privado interno,4,ACTIVO,TODO
1270101,Inversiones patrimoniales en empresas privadas,5,ACTIVO,TODO
127010100,Inversiones patrimoniales en empresas privadas,6,ACTIVO,TODO
1270199,Inversiones patrimoniales en otras unidades del sector privado,5,ACTIVO,TODO
127019900,Inversiones patrimoniales en otras unidades del sector privado,6,ACTIVO,TODO
12702,Inversiones patrimoniales en el sector público interno,4,ACTIVO,TODO
1270201,Inversiones patrimoniales en el Gobierno Central,5,ACTIVO,TODO
127020100,Inversiones patrimoniales en el Gobierno Central,6,ACTIVO,TODO
1270202,Inversiones patrimoniales en Órganos Desconcentrados,5,ACTIVO,TODO
127020200,Inversiones patrimoniales en Órganos Desconcentrados,6,ACTIVO,TODO
1270203,Inversiones patrimoniales en Instituciones Descentralizadas no Empresariales,5,ACTIVO,TODO
127020300,Inversiones patrimoniales en Instituciones Descentralizadas no Empresariales,6,ACTIVO,TODO
1270204,Inversiones patrimoniales en Gobiernos Locales,5,ACTIVO,TODO
127020400,Inversiones patrimoniales en Gobiernos Locales,6,ACTIVO,TODO
1270205,Inversiones patrimoniales en Empresas Públicas no Financieras,5,ACTIVO,TODO
127020500,Inversiones patrimoniales en Empresas Públicas no Financieras,6,ACTIVO,TODO
1270206,Inversiones patrimoniales en Instituciones Públicas Financieras,5,ACTIVO,TODO
127020600,Inversiones patrimoniales en Instituciones Públicas Financieras,6,ACTIVO,TODO
1270299,Inversiones patrimoniales en otras Instituciones de Gobiernos Locales,5,ACTIVO,TODO
127029900,Inversiones patrimoniales en otras Instituciones de Gobiernos Locales,6,ACTIVO,TODO
12703,Inversiones patrimoniales en el sector externo,4,ACTIVO,TODO
1270301,Aportes a organismos internacionales,5,ACTIVO,TODO
127030100,Aportes a organismos internacionales,6,ACTIVO,TODO
1270399,Inversiones patrimoniales en otras unidades del sector externo,5,ACTIVO,TODO
127039900,Inversiones patrimoniales en otras unidades del sector externo,6,ACTIVO,TODO
12704,Inversiones patrimoniales en fideicomisos,4,ACTIVO,TODO
1270401,Inversiones patrimoniales en fideicomisos para obras l/p,5,ACTIVO,TODO
127040100,Inversiones patrimoniales en fideicomisos para obras l/p,6,ACTIVO,TODO
1270402,Inversiones patrimoniales en fideicomisos para la producción l/p,5,ACTIVO,TODO
127040200,Inversiones patrimoniales en fideicomisos para la producción l/p,6,ACTIVO,TODO
1270403,Inversiones patrimoniales en fideicomisos para educación l/p,5,ACTIVO,TODO
127040300,Inversiones patrimoniales en fideicomisos para educación l/p,6,ACTIVO,TODO
1270499,Inversiones patrimoniales en otros fideicomisos l/p,5,ACTIVO,TODO
127049900,Inversiones patrimoniales en otros fideicomisos l/p,6,ACTIVO,TODO
129,Otros activos a largo plazo,3,ACTIVO,TODO
12901,Gastos a devengar a largo plazo,4,ACTIVO,TODO
1290101,Servicios a devengar l/p,5,ACTIVO,TODO
129010101,Primas y gastos de seguros a devengar l/p,6,ACTIVO,TODO
129010102,Alquileres y derechos sobre bienes a devengar l/p,6,ACTIVO,TODO
129010103,Reparaciones y mejoras sobre inmuebles de terceros arrendados l/p,6,ACTIVO,TODO
129010199,Otros servicios a devengar l/p,6,ACTIVO,TODO
1290199,Otros gastos a devengar l/p,5,ACTIVO,TODO
129019999,Otros gastos varios a devengar l/p,6,ACTIVO,TODO
12903,Objetos de valor,4,ACTIVO,TODO
1290301,Piedras y metales preciosos,5,ACTIVO,TODO
129030101,Oro,6,ACTIVO,TODO
129030102,Diamante,6,ACTIVO,TODO
129030199,Otras piedras y metales preciosos,6,ACTIVO,TODO
1290302,Obras de arte y antigüedades,5,ACTIVO,TODO
129030201,Pinturas,6,ACTIVO,TODO
129030202,Esculturas,6,ACTIVO,TODO
129030299,Otras obras de arte y antigüedades,6,ACTIVO,TODO
1290399,Otros objetos de valor,5,ACTIVO,TODO
129039901,Joyas,6,ACTIVO,TODO
129039999,Otros objetos de valor diversos,6,ACTIVO,TODO
12999,Activos a largo plazo sujetos a depuración contable,4,ACTIVO,TODO
1299902,Inversiones a largo plazo sujetas a depuración,5,ACTIVO,TODO
129990201,Títulos y valores a valor razonable a largo plazo sujetos a depuración,6,ACTIVO,TODO
129990202,Títulos y valores a costo amortizado a largo plazo sujetos a depuración,6,ACTIVO,TODO
129990203,Instrumentos derivados a largo plazo sujetos a depuración,6,ACTIVO,TODO
129990299,Otras inversiones financieras a largo plazo sujetas a depuración,6,ACTIVO,TODO
1299903,Cuentas a ca largo plazo sujetas a depuración,5,ACTIVO,TODO
129990303,Ventas a ca largo plazo sujetas a depuración,6,ACTIVO,TODO
129990307,Préstamos a largo plazo sujetos a depuración,6,ACTIVO,TODO
129990308,Documentos a cobrar a largo plazo sujetos a depuración,6,ACTIVO,TODO
129990309,Anticipos a largo plazo sujetos a depuración,6,ACTIVO,TODO
129990310,Deudores por avales a largo plazo sujetos a depuración,6,ACTIVO,TODO
129990399,Otras cuentas a cobrar a largo plazo sujetas a depuración,6,ACTIVO,TODO
1299905,Bienes no concesionados sujetos a depuración,5,ACTIVO,TODO
129990501,"Propiedades, planta y equipos explotados sujetos a depuración",6,ACTIVO,TODO
129990502,Propiedades de inversión sujetas a depuración,6,ACTIVO,TODO
129990503,Activos biológicos sujetos a depuración,6,ACTIVO,TODO
129990504,Bienes de infraestructura y de beneficio y uso público en servicio sujetos a depuración,6,ACTIVO,TODO
129990505,Bienes históricos y culturales sujetos a depuración,6,ACTIVO,TODO
129990506,Recursos naturales en explotación sujetos a depuración,6,ACTIVO,TODO
129990507,Recursos naturales en conservación sujetos a depuración,6,ACTIVO,TODO
129990508,Bienes intangibles sujetos a depuración,6,ACTIVO,TODO
129990599,Bienes en proceso de producción sujetos a depuración,6,ACTIVO,TODO
1299906,Bienes concesionados sujetos a depuración,5,ACTIVO,TODO
129990601,"Propiedades, planta y equipos explotados sujetos a depuración",6,ACTIVO,TODO
129990603,Activos biológicos sujetos a depuración,6,ACTIVO,TODO
129990604,Bienes de infraestructura y de beneficio y uso público en servicio sujetos a depuración,6,ACTIVO,TODO
129990606,Recursos naturales en explotación sujetos a depuración,6,ACTIVO,TODO
129990608,Bienes intangibles sujetos a depuración,6,ACTIVO,TODO
129990699,Bienes en proceso de producción sujetos a depuración,6,ACTIVO,TODO
1299907,Inversiones patrimoniales sujetas a depuración,5,ACTIVO,TODO
129990701,Inversiones patrimoniales en el sector privado interno sujetas a depuración,6,ACTIVO,TODO
129990702,Inversiones patrimoniales en el sector público interno sujetas a depuración,6,ACTIVO,TODO
129990703,Inversiones patrimoniales en el sector externo sujetas a depuración,6,ACTIVO,TODO
129990704,Inversiones patrimoniales en fideicomisos sujetas a depuración,6,ACTIVO,TODO
1299999,Otros activos a largo plazo sujetos a depuración,5,ACTIVO,TODO
129999901,Gastos a devengar sujetos a depuración,6,ACTIVO,TODO
129999902,Objetos de valor sujetos a depuración,6,ACTIVO,TODO
2,PASIVO,1,PASIVO,TODO
21,Pasivo Corriente,2,PASIVO,TODO
211,Deudas a corto plazo,3,PASIVO,TODO
21101,Deudas comerciales a corto plazo,4,PASIVO,TODO
2110101,Deudas por adquisición de inventarios c/p,5,PASIVO,TODO
211010101,Deudas comerciales por adquisición de materiales y suministros para consumo y prestación de servicios c/p,6,PASIVO,TODO
211010102,Deudas comerciales por adquisición de bienes para la venta c/p,6,PASIVO,TODO
211010103,Deudas comerciales por adquisición de materias primas y bienes en producción c/p,6,PASIVO,TODO
211010104,Deudas comerciales por adquisición de bienes para transferir ó donar,6,PASIVO,TODO
2110102,Deudas por adquisición de bienes distintos de inventarios c/p,5,PASIVO,TODO
211010201,"Deudas comerciales por adquisición de propiedades, planta y equipos en explotación c/p",6,PASIVO,TODO
211010202,Deudas comerciales por adquisición de propiedades de inversión c/p,6,PASIVO,TODO
211010203,Deudas comerciales por adquisición de activos biológicos c/p,6,PASIVO,TODO
211010204,Deudas comerciales por adquisición de bienes de infraestructura y de beneficio y uso público c/p,6,PASIVO,TODO
211010205,Deudas comerciales por adquisición de bienes históricos y culturales c/p,6,PASIVO,TODO
211010208,Deudas comerciales por adquisición de bienes intangibles c/p,6,PASIVO,TODO
2110103,Deudas con contratistas por obras de bienes en proceso de producción c/p,5,PASIVO,TODO
211010301,"Deudas con contratistas por obras en propiedades, planta y equipos c/p",6,PASIVO,TODO
211010302,Deudas con contratistas por obras en propiedades de inversión c/p,6,PASIVO,TODO
211010304,Deudas con contratistas por obras en bienes de infraestructura y de beneficio y uso público c/p,6,PASIVO,TODO
211010305,Deudas con contratistas por obras en bienes culturales c/p,6,PASIVO,TODO
211010308,Deudas con contratistas por producción de bienes intangibles c/p,6,PASIVO,TODO
211010309,Deudas con contratistas por producción de obras a terceros c/p,6,PASIVO,TODO
2110104,Deudas por adquisición de servicios c/p,5,PASIVO,TODO
211010401,Deudas comerciales por alquileres y derechos sobre bienes c/p,6,PASIVO,TODO
211010402,Deudas comerciales por servicios básicos c/p,6,PASIVO,TODO
211010403,Deudas comerciales por servicios comerciales y financieros c/p,6,PASIVO,TODO
211010404,Deudas comerciales por servicios de gestión y apoyo c/p,6,PASIVO,TODO
211010405,Deudas comerciales por gastos de viaje y transporte c/p,6,PASIVO,TODO
211010406,"Deudas comerciales por seguros, reaseguros y otras obligaciones c/p",6,PASIVO,TODO
211010407,Deudas comerciales por capacitación y protocolo c/p,6,PASIVO,TODO
211010408,Deudas comerciales por mantenimiento y reparaciones c/p,6,PASIVO,TODO
211010499,Deudas comerciales por otros servicios c/p,6,PASIVO,TODO
2110105,Arrendamientos financieros a pagar c/p,5,PASIVO,TODO
211010501,"Arrendamientos financieros de propiedades, planta y equipos a pagar c/p",6,PASIVO,TODO
211010502,Arrendamientos financieros de propiedades de inversión a pagar c/p,6,PASIVO,TODO
211010508,Arrendamientos financieros de bienes intangibles a pagar c/p,6,PASIVO,TODO
2110106,Deudas Comerciales a proveedores,5,PASIVO,TODO
211010601,Deudas comerciales proveedores nacionales,6,PASIVO,TODO
211010602,Deudas comerciales proveedores extranjeros,6,PASIVO,TODO
211010603,Deudas comerciales acredores institucionales,6,PASIVO,TODO
211010604,Deudas comerciales acredores ocacionales,6,PASIVO,TODO
211010605,Deudas comerciales acredores internacionales,6,PASIVO,TODO
211010606,Deuda comercial Orden de Pago Asamblea Legislativa,6,PASIVO,TODO
211010607,Deuda comerciales Ordenes de Pago CGR,6,PASIVO,TODO
211010608,Deuda comercial Orden Pago Defensoria Habitantes,6,PASIVO,TODO
211010609,Deuda comerciales Ordenes de Pago Poder Judicial,6,PASIVO,TODO
211010610,Deuda comerciales acredores Empleados,6,PASIVO,TODO
211010611,Deuda comerciales Ordenes de Pago Ministerios,6,PASIVO,TODO
211010612,Deuda comerciales Ordenes de Pago Otras Instituciones,6,PASIVO,TODO
211010613,Deuda comerciales Ordenes de Pago Poderes,6,PASIVO,TODO
2110107,Deudas Comerciales Recepcion de Mercaderia,5,PASIVO,TODO
211010701,Recepcion de Mercaderia y Servicios,6,PASIVO,TODO
211010702,Impuesto al Valor Agregado ( MM ),6,PASIVO,TODO
21102,Deudas sociales y fiscales a corto plazo,4,PASIVO,TODO
2110201,Deudas por beneficios a los empleados c/p,5,PASIVO,TODO
